timestamp,unitcode,ahu,heatpump,hvac,net
2016-03-08 00:00:00,sample,5.233333333333333,36.986666666666665,42.22,734.32
2016-03-08 00:05:00,sample,5.196666666666666,35.61,40.806666666666665,4807.513333333333
2016-03-08 00:10:00,sample,5.096666666666667,35.13,40.22666666666667,6848.98
2016-03-08 00:15:00,sample,4.876666666666667,35.31,40.18666666666667,6865.97
2016-03-08 00:20:00,sample,4.906666666666666,35.89333333333333,40.8,5075.206666666667
2016-03-08 00:25:00,sample,4.876666666666667,36.03333333333333,40.91,4372.22
2016-03-08 00:30:00,sample,4.966666666666667,36.2,41.166666666666664,4573.076666666667
2016-03-08 00:35:00,sample,4.913333333333333,36.0,40.913333333333334,4764.303333333333
2016-03-08 00:40:00,sample,196.79,1011.77,1208.56,5626.6
2016-03-08 00:45:00,sample,1607.7466666666667,1032.43,2640.1766666666667,6743.756666666667
2016-03-08 00:50:00,sample,527.1666666666666,95.25666666666666,622.4233333333333,4871.01
2016-03-08 00:55:00,sample,4.126666666666667,36.04,40.166666666666664,4266.48
2016-03-08 01:00:00,sample,4.1466666666666665,36.21,40.35666666666667,4278.456666666667
2016-03-08 01:05:00,sample,4.223333333333334,36.53,40.75333333333333,4296.61
2016-03-08 01:10:00,sample,4.11,36.10666666666667,40.21666666666667,3040.883333333333
2016-03-08 01:15:00,sample,86.65666666666667,452.94,539.5966666666667,1151.9766666666667
2016-03-08 01:20:00,sample,244.30666666666667,1284.46,1528.7666666666667,2065.97
2016-03-08 01:25:00,sample,144.53,305.34,449.87,2974.0533333333333
2016-03-08 01:30:00,sample,4.253333333333333,27.09,31.343333333333334,4175.933333333333
2016-03-08 01:35:00,sample,4.24,36.57666666666667,40.81666666666667,4259.583333333333
2016-03-08 01:40:00,sample,4.153333333333333,36.11333333333334,40.266666666666666,4232.243333333333
2016-03-08 01:45:00,sample,135.43666666666667,745.4733333333334,880.91,5079.76
2016-03-08 01:50:00,sample,243.85333333333332,1046.5466666666666,1290.4,4292.58
2016-03-08 01:55:00,sample,37.00666666666667,6.15,43.156666666666666,675.7633333333333
2016-03-08 02:00:00,sample,4.276666666666666,36.78,41.056666666666665,677.1233333333333
2016-03-08 02:05:00,sample,4.253333333333333,36.67,40.92333333333333,1291.9033333333334
2016-03-08 02:10:00,sample,4.2,36.22,40.42,4090.41
2016-03-08 02:15:00,sample,87.50666666666666,497.51,585.0166666666667,4781.846666666666
2016-03-08 02:20:00,sample,244.06333333333333,1357.1133333333332,1601.1766666666667,5808.33
2016-03-08 02:25:00,sample,83.41333333333333,0.0,83.41333333333333,2532.6
2016-03-08 02:30:00,sample,4.286666666666667,28.95,33.236666666666665,337.13666666666666
2016-03-08 02:35:00,sample,4.18,36.20666666666666,40.38666666666666,339.8833333333333
2016-03-08 02:40:00,sample,4.416666666666667,36.04666666666667,40.46333333333333,325.37333333333333
2016-03-08 02:45:00,sample,4.976666666666667,36.18,41.156666666666666,305.11
2016-03-08 02:50:00,sample,4.956666666666667,36.09,41.04666666666667,305.28
2016-03-08 02:55:00,sample,4.96,36.153333333333336,41.11333333333334,305.25333333333333
2016-03-08 03:00:00,sample,136.81666666666666,769.9833333333333,906.8,1174.1133333333332
2016-03-08 03:05:00,sample,244.78666666666666,1287.1566666666668,1531.9433333333334,1800.4133333333334
2016-03-08 03:10:00,sample,60.19,0.0,60.19,323.43333333333334
2016-03-08 03:15:00,sample,4.943333333333333,22.923333333333332,27.866666666666667,290.9433333333333
2016-03-08 03:20:00,sample,4.93,36.333333333333336,41.263333333333335,302.36333333333334
2016-03-08 03:25:00,sample,5.023333333333333,36.36,41.38333333333333,300.74
2016-03-08 03:30:00,sample,4.983333333333333,36.53,41.513333333333335,300.92333333333335
2016-03-08 03:35:00,sample,170.56666666666666,1008.1533333333333,1178.72,1443.0933333333332
2016-03-08 03:40:00,sample,239.42,1006.2433333333333,1245.6633333333334,1508.4566666666667
2016-03-08 03:45:00,sample,13.496666666666666,0.0,13.496666666666666,271.52
2016-03-08 03:50:00,sample,4.983333333333333,25.073333333333334,30.05666666666667,287.72333333333336
2016-03-08 03:55:00,sample,5.033333333333333,36.88666666666666,41.92,301.1566666666667
2016-03-08 04:00:00,sample,5.036666666666667,36.766666666666666,41.803333333333335,329.75333333333333
2016-03-08 04:05:00,sample,5.006666666666667,36.43666666666667,41.443333333333335,336.72333333333336
2016-03-08 04:10:00,sample,5.016666666666667,36.54666666666667,41.56333333333333,330.7366666666667
2016-03-08 04:15:00,sample,4.99,36.57,41.56,260.22333333333336
2016-03-08 04:20:00,sample,4.986666666666666,36.74666666666667,41.733333333333334,247.05
2016-03-08 04:25:00,sample,41.02,254.93,295.95,478.32
2016-03-08 04:30:00,sample,246.83666666666667,1441.9533333333334,1688.79,1880.6333333333334
2016-03-08 04:35:00,sample,144.32333333333332,344.83666666666664,489.16,672.4833333333333
2016-03-08 04:40:00,sample,4.95,11.37,16.32,202.45
2016-03-08 04:45:00,sample,4.946666666666666,36.43,41.376666666666665,225.98333333333332
2016-03-08 04:50:00,sample,4.926666666666667,36.403333333333336,41.33,225.54333333333332
2016-03-08 04:55:00,sample,149.28333333333333,879.0266666666666,1028.31,1213.79
2016-03-08 05:00:00,sample,245.24333333333334,1298.32,1543.5633333333333,1731.8166666666666
2016-03-08 05:05:00,sample,60.096666666666664,0.0,60.096666666666664,241.36666666666667
2016-03-08 05:10:00,sample,4.966666666666667,24.713333333333335,29.68,210.46333333333334
2016-03-08 05:15:00,sample,5.003333333333333,36.06333333333333,41.06666666666667,222.54333333333332
